feature,ttest_pvalue,mannwhitney_pvalue
diabetes,7.734261924040933e-12,9.26217936825125e-65
sysBP,2.553171356339629e-41,3.9834117369337065e-57
prevalentHyp,1.5823845187195322e-34,9.638162560200105e-44
diaBP,1.6419939687795723e-23,5.016563389960265e-30
glucose,7.204242258187521e-16,1.0697119596492613e-27
BPMeds,1.0150340775250509e-07,2.3263696430031276e-24
age,1.1449051269984862e-17,2.9046222420823617e-18
heartRate,2.3094689187435513e-14,1.3914578180026767e-15
totChol,2.381829842616478e-13,2.4219174664682e-15
BMI,3.4949864837197173e-06,1.6609624116814494e-06
cigsPerDay,2.007589928190858e-06,1.4803633397900773e-05
education,1.7400060752456386e-05,3.698997826826746e-05
currentSmoker,0.007320002091060189,0.0072679971391888904
prevalentStroke,0.43181380651882306,0.311208716246802
male,0.5816651933173234,0.5799495417684977
