feature,ttest_pvalue,mannwhitney_pvalue
diabetes,1.2638894350483354e-11,6.746479237594295e-58
prevalentHyp,5.04324848103937e-29,1.373472797549632e-36
sysBP,7.830097571172248e-29,2.301171935906829e-35
diaBP,1.1039855470779241e-17,3.08420978912986e-22
BPMeds,7.987591165132158e-07,1.5136866283078766e-18
age,1.6129631076856333e-12,2.8540035017491283e-13
glucose,5.24370303410711e-12,5.014555346673084e-10
heartRate,5.521864289897274e-09,3.4600300254971676e-08
BMI,5.080524557603997e-06,2.4365631442653214e-06
education,0.00012546510359431222,5.292212287425692e-05
cigsPerDay,2.3512288734628663e-06,0.00017412635993265134
totChol,2.6112892342338384e-05,0.0006453611764802692
currentSmoker,0.053678855413266294,0.05318220478498308
male,0.2016830260269754,0.19861142782649255
prevalentStroke,0.49429172523625386,0.40032192902934327
