feature,ttest_pvalue,mannwhitney_pvalue
diabetes,6.24283231490155e-12,1.0939727652133878e-60
sysBP,6.302340723264479e-37,1.6571456794814488e-49
prevalentHyp,1.9490595420745468e-33,2.805964183838016e-42
glucose,1.833965529958969e-15,8.131558647307066e-24
diaBP,3.713165562438376e-18,4.895350476029952e-22
age,3.486401784793795e-17,4.963399200263808e-18
BPMeds,1.5301633818368205e-06,2.901436366905248e-17
heartRate,4.407165999155472e-15,1.696423724258294e-16
cigsPerDay,1.2621035926160846e-10,2.3985532929578213e-10
totChol,3.3249860983285523e-07,1.3357224536514107e-06
BMI,5.803360660899113e-06,8.198633951178184e-06
currentSmoker,1.2579700107191499e-05,1.364752407430736e-05
education,0.00010617260093878385,0.0001645809536743041
male,0.10532474906302494,0.10261052245810659
prevalentStroke,0.49429172523625386,0.40032192902934327
