feature,ttest_pvalue,mannwhitney_pvalue
diabetes,6.828990997681575e-05,3.0915710906718937e-12
prevalentHyp,1.059946840226532e-09,2.3699325266860218e-11
sysBP,3.739784683129415e-10,7.76311360556488e-10
BPMeds,0.0013862429813353597,2.2403065347018813e-06
age,5.99847884428764e-05,6.97431083935793e-05
heartRate,3.4929067334225574e-06,9.22365093895967e-05
cigsPerDay,7.924819600925945e-05,0.0002636558416104036
glucose,2.4450717145724584e-05,0.0009067027582626168
education,0.003353948253362564,0.0014719366949824482
currentSmoker,0.004343497939961656,0.00431961335219924
prevalentStroke,0.1287906467371468,0.017606444689863093
BMI,0.0031565838776968307,0.04327381191363496
male,0.06462187817781377,0.062387181473521534
totChol,0.0410376574917151,0.22354040483776783
diaBP,0.04338860055921085,0.26240530693506003
