feature,ttest_pvalue,mannwhitney_pvalue
diabetes,9.743100509877987e-08,9.737445087071177e-28
BPMeds,0.0013862429813353597,2.2403065347018813e-06
prevalentHyp,3.2400914602364514e-05,8.629201619394157e-06
glucose,5.969355624127288e-07,0.0055087522024180975
male,0.019969030312701332,0.02155530398110994
sysBP,6.862056470500626e-06,0.06839605101129999
diaBP,0.0048017907103882155,0.27405638909051333
heartRate,0.07135589512827131,0.3095824427806828
prevalentStroke,0.49429172523625386,0.40032192902934327
cigsPerDay,0.2697976307426234,0.5256371433423763
BMI,0.7135446109016724,0.5681570563012189
age,0.6289761625563414,0.7880909365479941
totChol,0.02948627408732684,0.8951908148562187
education,0.9862117187993884,0.900824953090075
currentSmoker,0.926286372375639,0.9261715221873806
